Starting data collection...
Saved - Temp: 78.3F  Humidity: 53.2%  Air Quality: 0.29V
Saved - Temp: 78.3F  Humidity: 53.6%  Air Quality: 0.29V
Saved - Temp: 78.3F  Humidity: 53.7%  Air Quality: 0.29V
Saved - Temp: 78.4F  Humidity: 53.9%  Air Quality: 0.29V
Saved - Temp: 78.6F  Humidity: 53.9%  Air Quality: 0.30V
Saved - Temp: 78.6F  Humidity: 54.0%  Air Quality: 0.30V
Saved - Temp: 78.8F  Humidity: 54.0%  Air Quality: 0.30V
Saved - Temp: 79.0F  Humidity: 54.1%  Air Quality: 0.30V
Reading error: Checksum did not validate. Try again.
Saved - Temp: 79.0F  Humidity: 54.1%  Air Quality: 0.30V
Saved - Temp: 79.2F  Humidity: 54.2%  Air Quality: 0.30V
Saved - Temp: 79.2F  Humidity: 54.2%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 54.3%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 54.4%  Air Quality: 0.32V
Saved - Temp: 79.3F  Humidity: 54.4%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 54.5%  Air Quality: 0.32V
Saved - Temp: 79.3F  Humidity: 54.5%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 54.6%  Air Quality: 0.32V
Saved - Temp: 79.3F  Humidity: 54.7%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 54.9%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 54.9%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 54.9%  Air Quality: 0.32V
Saved - Temp: 79.7F  Humidity: 55.0%  Air Quality: 0.33V
Saved - Temp: 79.7F  Humidity: 55.0%  Air Quality: 0.33V
Saved - Temp: 79.7F  Humidity: 55.0%  Air Quality: 0.33V
Saved - Temp: 79.7F  Humidity: 55.0%  Air Quality: 0.33V
Saved - Temp: 79.7F  Humidity: 55.0%  Air Quality: 0.33V
Saved - Temp: 79.9F  Humidity: 55.1%  Air Quality: 0.33V
Saved - Temp: 79.9F  Humidity: 55.1%  Air Quality: 0.33V
Saved - Temp: 79.9F  Humidity: 55.1%  Air Quality: 0.33V
Saved - Temp: 79.9F  Humidity: 55.2%  Air Quality: 0.33V
Saved - Temp: 79.9F  Humidity: 55.3%  Air Quality: 0.33V
Saved - Temp: 79.9F  Humidity: 55.2%  Air Quality: 0.33V
Saved - Temp: 80.1F  Humidity: 55.2%  Air Quality: 0.33V
Saved - Temp: 80.1F  Humidity: 55.2%  Air Quality: 0.33V
Saved - Temp: 80.1F  Humidity: 55.3%  Air Quality: 0.33V
Saved - Temp: 80.1F  Humidity: 55.3%  Air Quality: 0.33V
Saved - Temp: 80.2F  Humidity: 55.3%  Air Quality: 0.33V
Saved - Temp: 80.1F  Humidity: 55.3%  Air Quality: 0.33V
Saved - Temp: 80.2F  Humidity: 55.3%  Air Quality: 0.33V
Saved - Temp: 80.2F  Humidity: 55.2%  Air Quality: 0.33V
Saved - Temp: 80.2F  Humidity: 55.3%  Air Quality: 0.33V
